"PTS","Pos","Club","Group","Year","Value","Value_centered","clas_factor","fitted","sum_p","real_p"
9,3,"penarol",3,2018,15.98,5.3325,"NO",0.632121472875353,2.10146970806099,30.0799707200447
10,2,"atletico tucuman",3,2018,16.43,5.7825,"SI",0.640627702544714,2.10146970806099,30.4847459893113
1,4,"emelec",4,2018,21.65,-30.225,"NO",0.086007533928498,2.01733055151068,4.2634328748995
7,3,"independiente santa fe",4,2018,23.2,-28.675,"NO",0.0964970546081733,2.01733055151068,4.78340322243726
12,1,"river plate",4,2018,75.15,23.275,"SI",0.881536732968694,2.01733055151068,43.6981798698559
10,2,"flamengo",4,2018,87.5,35.625,"SI",0.953289230005319,2.01733055151068,47.2549840328074
5,4,"universidad de chile",5,2018,16.6,-24.7,"NO",0.128751119040923,2.1593303190048,5.9625485692371
5,3,"vasco da gama",5,2018,42.7,1.4,"NO",0.554799044666584,2.1593303190048,25.6931067833236
11,2,"racing club",5,2018,49.2,7.9,"SI",0.679411714174826,2.1593303190048,31.464001046767
11,1,"cruzeiro",5,2018,56.7,15.4,"SI",0.796368441122462,2.1593303190048,36.8803436006723
6,4,"garcilaso",6,2018,7.63,-20.9525,"NO",0.167157142112505,1.97027305378522,8.48395819002696
8,3,"nacional",6,2018,20.95,-7.6325,"NO",0.373368956174721,1.97027305378522,18.9501122931879
8,2,"estudiantes de la plata",6,2018,27.45,-1.1325,"SI",0.503299593066949,1.97027305378522,25.5446620507765
10,1,"santos fc",6,2018,58.3,29.7175,"SI",0.926447362431044,1.97027305378522,47.0212674660086
6,4,"deportivo lara",7,2018,6.25,-19.295,"NO",0.18686536079587,1.93299004048084,9.66716624930911
8,3,"millonarios",7,2018,15.68,-9.865,"NO",0.331775587313224,1.93299004048084,17.1638539446739
10,2,"independiente de avellaneda",7,2018,23.2,-2.345,"SI",0.478550327632151,1.93299004048084,24.7569991365868
10,1,"corinthians",7,2018,57.05,31.505,"SI",0.935798764739594,1.93299004048084,48.4119806694302
7,3,"junior fc",8,2018,25.08,-27.185,"NO",0.107642837063697,2.04494306688419,5.26385496040769
1,4,"alianza lima",8,2018,7.18,-45.085,"NO",0.0271907578753216,2.04494306688419,1.32965842989219
9,2,"boca juniors",8,2018,87.75,35.485,"SI",0.952777318634528,2.04494306688419,46.5918750533354
16,1,"palmeiras",8,2018,89.05,36.785,"SI",0.957332153310645,2.04494306688419,46.8146115563647
